Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50995006;D;D;D
50989030;D;D;D
50987267;D;D;D
50979922;D;D;D
50972782;D;D;D
50932160;D;D;D
50931741;D;D;D
50925733;D;D;D
50868128;D;D;D
50827820;D;D;D
50821008;D;D;D
50814567;D;D;D
50808451;D;D;D
50798464;D;D;D
50740113;D;D;D
50707434;D;D;D
50707299;D;D;D
50663887;D;D;D
50586688;D;D;D
50529927;D;D;D
50505572;D;D;D
50447866;D;D;D
50436473;D;D;D
50377671;D;D;D
50375555;D;D;D
50363263;D;D;D
50351044;D;D;D
50334247;D;D;D
50333046;D;D;D
50328263;D;D;D
50280066;D;D;D
50253174;D;D;D
50237470;D;D;D
50236393;D;D;D
50212249;D;D;D
50190261;D;D;D
50177893;D;D;D
50169394;D;D;D
50162276;D;D;D
50158031;D;D;D
50146173;D;D;D
50124536;D;D;D
50111574;D;D;D
50109303;D;D;D
50052671;D;D;D
50028297;D;D;D
50007270;D;D;D
50942778;D;D;D
50887475;D;D;D
50869248;D;D;D
50865641;D;D;D
50821695;D;D;D
50815830;D;D;D
50814915;D;D;D
50783149;D;D;D
50765736;D;D;D
50737007;D;D;D
50728814;D;D;D
50702270;D;D;D
50701401;D;D;D
50627058;D;D;D
50590138;D;D;D
50577697;D;D;D
50573500;D;D;D
50561227;C2;C2;D
50547380;D;D;D
50506129;D;D;D
50504797;D;D;D
50504088;D;D;D
50457055;D;D;D
50398415;D;D;D
50369385;D;D;D
50353314;D;D;D
50329391;D;D;D
50303767;D;D;D
50302779;D;D;D
50282832;D;D;D
50253565;D;D;D
50244396;D;D;D
50211714;D;D;D
50186558;D;D;D
50182005;D;D;D
50156233;D;D;D
50155105;D;D;D
50150855;D;D;D
50114749;D;D;D
50114369;D;D;D
50114368;D;D;D
50113620;D;D;D
50113240;D;D;D
50112560;D;D;D
50111217;D;D;D
50109975;D;D;D
50108372;D;D;D
50108326;D;D;D
50107720;D;D;D
50107708;D;D;D
50107707;D;D;D
50107650;B2;B1;B1
50104918;C2;C1;C2
50104913;D;C2;D
50104047;C2;B2;B2
50102716;B2;B1;C1
50101595;D;D;D
50101593;C1;C1;C1
50099108;D;C1;D
50099001;C1;B1;C1
50097371;D;D;D
50095717;D;D;D
50093146;D;D;D
50090357;C2;C2;C2
50089856;D;D;D
50089855;D;D;D
50089853;D;D;D
50089606;C2;C1;C2
50087393;B2;B2;B2
50087322;D;D;D
50086685;D;D;D
50085592;B2;B1;B2
50085131;B2;B1;B2
50082394;D;D;D
50082389;C2;C1;C2
50080574;C1;B2;C2
50078349;B2;B2;B2
50077179;D;D;D
50075590;D;D;D
50074716;B2;B1;B2
50074216;B2;B2;B2
50073891;D;D;D
50073890;D;D;D
50073889;D;D;D
50073584;D;D;D
50072056;D;D;D
50071957;D;D;D
50069431;D;D;D
50068819;D;D;D
50067687;C1;B2;C1
50066901;C1;C1;C2
50066408;D;D;D
50066094;C2;C2;C2
50065580;D;D;D
50065322;D;D;D
50064767;C1;C1;C1
50063844;C1;C1;C1
50063393;D;D;D
50062572;B2;B2;B2
50060756;B1;B1;B1
50056914;D;D;D
50054482;D;D;D
50054407;C2;C2;C2
50053642;D;D;D
50053285;C1;C1;C2
50053284;C2;C1;D
50045521;D;D;D
50044303;D;D;D
50044058;C1;C1;C1
50043840;D;C1;C1
50043663;C1;C1;C1
50043299;D;D;D
50042477;D;D;D
50041989;C1;C1;C1
50032467;B2;B2;C1
50031692;D;D;D
50031466;C2;C2;C2
50028041;C2;C2;C2
50028006;C2;C2;C2
50026856;C1;C1;C1
50011740;C2;C2;C2
50011272;B1;B1;B1
50010861;C2;C2;C2
30099343;D;D;D
30097470;D;D;D
30097323;D;D;D
30094484;D;D;D
30092185;D;D;D
30090446;D;D;D
30087557;D;D;D
30086903;D;D;D
30086545;D;D;D
30086529;D;D;D
30086415;D;D;D
30085615;D;D;D
30083630;D;D;D
30081960;D;D;D
30080731;D;D;D
30080513;D;D;D
30078968;D;D;D
30078792;D;D;D
30078760;D;D;D
30078682;D;D;D
30077209;D;D;D
30076884;D;D;D
30076105;D;D;D
30074564;D;D;D
30072582;D;D;D
30072072;D;D;D
30070682;D;D;D
30070123;D;D;D
30068479;D;D;D
30067349;D;D;D
30066298;D;D;D
30065301;D;D;D
30064971;D;D;D
30064322;D;D;D
30062416;D;D;D
30062398;D;D;D
30062388;D;D;D
30061685;D;D;D
30061586;D;D;D
