Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50108678;D;D;D
50051706;D;D;D
50620517;D;D;D
50885383;D;C2;D
50018051;D;D;D
50100465;D;D;D
50103314;B1;B1;B1
50017595;D;C2;D
50542230;D;D;D
50071239;D;D;D
50099659;B1;B1;B1
50035091;D;D;D
50019262;D;D;D
50988166;D;D;D
50098326;D;D;D
50099161;C2;C2;D
50594907;D;D;D
50010310;D;D;D
50945335;D;D;D
50103796;D;D;D
50107978;D;D;D
50200275;D;D;D
50021069;D;D;D
50111102;D;D;D
50103550;D;D;D
50615300;D;D;D
50058944;D;D;D
50056239;D;D;D
50843265;D;D;D
50979736;D;D;D
50005639;C2;C2;C2
50211625;D;D;D
50000065;C1;C1;C1
50200984;D;D;D
50062001;C2;C2;D
50096609;D;D;D
50951270;D;D;D
50259962;C2;C2;C2
50891219;D;D;D
50402943;D;D;D
50807625;C2;C2;D
50111740;D;D;D
50227319;D;D;D
50837087;D;D;D
50052644;D;D;D
50496859;D;D;D
50104498;D;D;D
50068017;D;D;D
50709119;D;D;D
50480243;D;D;D
50006107;C1;C1;C1
50026264;D;D;D
50031589;D;D;D
50883852;D;D;D
50495836;D;D;D
50264885;D;D;D
50005753;D;D;D
50997149;D;D;D
50018348;C2;C2;C2
50069999;D;D;D
50425161;D;D;D
50205455;D;D;D
50092344;D;D;D
50088093;C2;C2;D
50824368;D;D;D
50000320;D;D;D
50019056;D;D;D
50108182;D;D;D
50620711;D;D;D
50837478;D;D;D
50911058;C2;C2;D
50720023;D;D;D
50264893;D;D;D
50104907;D;D;D
50797069;D;D;D
50243810;D;D;D
50741659;D;D;D
50043698;D;D;D
50121731;D;D;D
50058081;D;D;D
50166425;D;D;D
50464914;D;D;D
50098435;D;D;D
50906658;D;D;D
50385984;D;D;D
50038073;D;D;D
50050674;C2;C2;D
50777912;D;D;D
50487280;D;D;D
50052828;D;D;D
50060278;D;D;D
50783165;D;D;D
50377019;D;D;D
50103552;D;D;D
50103971;D;D;D
50530755;C2;C2;C2
50923595;D;D;D
50861549;D;D;D
50952803;D;D;D
50999990;D;D;D
50001592;B2;B2;B2
50001609;B2;B2;B2
50017952;C2;C2;C2
50440462;D;D;D
50018894;D;D;D
50060490;D;D;D
50115047;D;D;D
50052647;D;D;D
50000049;D;D;D
50034845;D;D;D
50936506;D;D;D
50108819;D;D;D
50509195;D;D;D
50027985;C2;C2;C2
50100475;D;D;D
50041951;C2;C2;D
50044801;D;C2;D
50134086;D;D;D
50781553;D;D;D
50096590;D;D;D
50062275;D;C2;D
50013054;D;D;D
50056501;D;D;D
50025005;D;C2;D
50038602;D;D;D
50052596;D;D;D
50329928;D;D;D
50803018;D;D;D
50963791;D;D;D
50693662;D;D;D
50268430;D;D;D
50058440;D;C2;C2
50051708;D;D;D
50092580;D;D;D
50106988;D;D;D
50713388;D;D;D
50107977;D;D;D
50370995;D;D;D
50092794;D;D;D
50000141;D;D;D
50053249;C1;B2;B2
50711563;D;D;D
50037208;D;D;D
50099421;D;D;D
50075563;B1;B1;B2
50013545;C2;C1;B2
50497715;D;D;D
50102347;D;D;D
50021800;C2;C2;C2
50000250;D;D;D
50045793;D;D;D
50098389;D;D;D
50484915;D;D;D
50085970;C2;C2;C2
50097071;D;D;D
50040097;D;D;D
50016360;D;C1;C2
50109853;C2;C2;D
50109854;C2;C2;D
50071006;D;D;D
50075018;D;D;D
50004887;D;C2;C2
50052990;D;D;D
50077982;D;D;D
50106431;D;D;D
50101497;C2;C2;D
50035126;D;C2;D
50106432;D;C2;D
50056210;D;C2;D
50100139;D;D;D
50106989;D;D;D
50099810;D;D;C2
50058550;D;D;D
50099618;D;D;D
50090137;D;D;D
50064526;D;D;D
50110257;D;D;D
50816195;D;D;D
50139916;D;D;D
50099808;C2;D;D
50077783;D;D;D
50103375;D;D;D
50062609;C2;C2;C2
50103196;D;D;D
50099756;D;D;D
50085702;D;D;D
50438751;D;D;D
50099753;D;D;D
50097074;B1;B2;C1
50072265;C2;C2;C2
50102346;D;D;D
50070088;C2;B2;C2
50103376;D;D;D
50073642;B1;B1;B2
50110259;D;D;D
50060591;B2;B1;C1
50050585;D;D;D
50078480;B1;B1;C1
50042625;B2;B2;B2
50100816;D;D;D
50009215;D;D;D
50080284;D;C1;D
50109649;D;D;D
50109650;D;D;D
50071159;D;D;D
50530518;D;D;D
50053982;C1;C1;D
50839969;D;D;D
50408933;D;D;D
50629220;D;D;D
50118439;D;D;D
50362615;D;D;D
50110267;D;C2;D
50100249;D;D;D
50109833;D;D;D
50109320;D;C2;C2
50115135;D;D;D
50087221;D;D;D
50092615;D;D;D
50024168;B2;B2;C1
50075959;C2;C2;C2
50101520;D;C2;C2
50061080;C1;C1;C2
50109652;D;D;D
50134876;D;D;D
50067004;D;D;D
50951122;D;D;D
50443917;D;D;D
50042116;C1;C1;C1
50933701;D;D;D
50820745;D;D;D
50604244;D;D;D
50084451;D;D;D
50094954;C2;C2;D
50090111;D;D;D
50082700;C2;C2;C2
50034287;D;D;D
50063544;C2;C2;C2
50108167;C2;C1;D
50104341;B1;B1;C1
50109459;D;D;D
50105617;D;D;D
50916459;D;D;D
50109284;D;D;D
50111633;C2;C2;D
