Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50942778;D;D;D
50887475;D;D;D
50869248;D;D;D
50865641;D;D;D
50821695;D;D;D
50815830;D;D;D
50814915;D;D;D
50783149;D;D;D
50765736;D;D;D
50737007;D;D;D
50728814;D;D;D
50702270;D;D;D
50701401;D;D;D
50627058;D;D;D
50590138;D;D;D
50577697;D;D;D
50573500;D;D;D
50561227;C2;C2;D
50547380;D;D;D
50506129;D;D;D
50504797;D;D;D
50504088;D;D;D
50457055;D;D;D
50398415;D;D;D
50369385;D;D;D
50353314;D;D;D
50329391;D;D;D
50303767;D;D;D
50302779;D;D;D
50282832;D;D;D
50253565;D;D;D
50244396;D;D;D
50211714;D;D;D
50186558;D;D;D
50182005;D;D;D
50156233;D;D;D
50155105;D;D;D
50150855;D;D;D
50114749;D;D;D
50114369;D;D;D
50114368;D;D;D
50113620;D;D;D
50113240;D;D;D
50112560;D;D;D
50111217;D;D;D
50109975;D;D;D
50108372;D;D;D
50108326;D;D;D
50107720;D;D;D
50107708;D;D;D
50107707;D;D;D
50107650;B2;B1;B1
50104918;C2;C1;C2
50104913;D;C2;D
50104047;C2;B2;B2
50102716;B2;B1;C1
50101595;D;D;D
50101593;C1;C1;C1
50099108;D;C1;D
50099001;C1;B1;C1
50097371;D;D;D
50095717;D;D;D
50093146;D;D;D
50090357;C2;C2;C2
50089856;D;D;D
50089855;D;D;D
50089853;D;D;D
50089606;C2;C1;C2
50087393;B2;B2;B2
50087322;D;D;D
50086685;D;D;D
50085592;B2;B1;B2
50085131;B2;B1;B2
50082394;D;D;D
50082389;C2;C1;C2
50080574;C1;B2;C2
50078349;B2;B2;B2
50077179;D;D;D
50075590;D;D;D
50074716;B2;B1;B2
50074216;B2;B2;B2
50073891;D;D;D
50073890;D;D;D
50073889;D;D;D
50073584;D;D;D
50072056;D;D;D
50071957;D;D;D
50069431;D;D;D
50068819;D;D;D
50067687;C1;B2;C1
50066901;C1;C1;C2
50066408;D;D;D
50066094;C2;C2;C2
50065580;D;D;D
50065322;D;D;D
50064767;C1;C1;C1
50063844;C1;C1;C1
50063393;D;D;D
50062572;B2;B2;B2
50060756;B1;B1;B1
50056914;D;D;D
50054482;D;D;D
50054407;C2;C2;C2
50053642;D;D;D
50053285;C1;C1;C2
50053284;C2;C1;D
50045521;D;D;D
50044303;D;D;D
50044058;C1;C1;C1
50043840;D;C1;C1
50043663;C1;C1;C1
50043299;D;D;D
50042477;D;D;D
50041989;C1;C1;C1
50032467;B2;B2;C1
50031692;D;D;D
50031466;C2;C2;C2
50028041;C2;C2;C2
50028006;C2;C2;C2
50026856;C1;C1;C1
50011740;C2;C2;C2
50011272;B1;B1;B1
50010861;C2;C2;C2
50998528;D;D;D
50991078;D;D;D
50988565;D;D;D
50982966;D;D;D
50980130;D;D;D
50945750;D;D;D
50941682;D;D;D
50940872;D;D;D
50926896;D;D;D
50922645;D;D;D
50891472;D;D;D
50889060;D;D;D
50877224;D;D;D
50858874;D;D;D
50852892;D;D;D
50846310;D;D;D
50830112;D;D;D
50792431;D;D;D
50781731;D;D;D
50779427;D;D;D
50764047;D;D;D
50756311;D;D;D
50751670;D;D;D
50748599;D;D;D
50718908;D;D;D
50672452;D;D;D
50669451;C2;C2;D
50668161;D;D;D
50653164;D;D;D
50628623;D;D;D
50617362;D;D;D
50611526;D;D;D
50592963;D;D;D
50547976;D;D;D
50546678;D;D;D
50539736;D;D;D
50532464;D;D;D
50526243;D;D;D
50517678;D;D;D
50498037;D;D;D
50492306;D;D;D
50446274;D;D;D
50417134;D;D;D
50409840;D;D;D
50386522;D;D;D
50345710;D;D;D
50340344;D;D;D
50338927;D;D;D
50331620;D;D;D
50319337;D;D;D
50318586;D;D;D
50318322;D;D;D
50297317;D;D;D
50293737;D;D;D
50290444;D;D;D
50276735;D;D;D
50257102;D;D;D
50253999;D;D;D
50229575;D;D;D
50216430;D;D;D
50202820;D;D;D
50175009;D;D;D
50174045;D;D;D
50169424;D;D;D
50165976;D;D;D
50153579;D;D;D
50130064;D;D;D
50129341;D;D;D
50128388;D;D;D
50115645;D;D;D
50115644;D;D;D
50115640;D;D;D
50115302;D;D;D
50115301;D;D;D
50115296;D;D;D
50113938;D;D;D
50113828;D;D;D
50113827;D;D;D
50113825;D;D;D
50112827;D;D;D
50112825;D;D;D
50112378;D;D;D
50111242;D;D;D
50111239;D;D;D
50110788;D;D;D
50110787;D;D;D
50109961;D;D;D
50107949;D;D;D
50106154;D;D;D
50106152;D;D;D
50106151;D;D;D
50105418;D;D;D
50105414;D;D;D
50105411;C2;C2;D
50105410;C2;C2;D
50102254;D;D;D
50101669;D;D;D
50101064;D;D;D
50091218;D;D;D
50091217;C2;C2;C2
50091208;D;D;D
50085962;D;D;D
50085229;D;C2;D
50076684;D;D;D
50074747;D;D;D
50074718;D;D;D
50063284;D;D;D
50059828;C2;C2;C2
50059376;C2;C2;C2
50056355;C2;C2;C2
50049084;D;D;D
50048938;C2;C2;C2
50047682;C1;C1;D
50036706;D;D;D
50035892;D;D;D
50026156;D;D;D
50019564;D;D;D
50014446;C2;C2;C2
50014444;D;C2;D
50994166;D;D;D
50991922;C2;C1;D
50986902;D;D;D
50975218;D;D;D
50974181;D;D;D
50965808;D;D;D
50930273;D;D;D
50927892;D;D;D
50907670;D;D;D
50903993;D;D;D
50893858;D;D;D
50883097;D;D;D
50872958;D;D;D
50830953;D;D;D
50830171;D;D;D
50800957;D;D;D
50756257;D;D;D
50749846;D;D;D
50747304;D;D;D
50738917;D;D;D
50737392;D;D;D
50731408;D;D;D
50727419;D;D;D
50721526;D;D;D
