Lidnummer;Klassement enkel;Klassement dubbel;Klassement gemengd
50300830;D;D;D
50951939;D;D;D
50677470;D;D;D
50758543;D;D;D
50781898;D;D;D
50966731;D;D;D
50871250;D;D;D
50137638;D;D;D
50329332;D;D;D
50499661;D;D;D
50687255;D;D;D
50428071;D;D;D
50501992;D;D;D
50868969;D;D;D
50179314;D;D;D
50756834;D;D;D
50456717;D;D;D
50295667;D;D;D
50680900;D;D;D
50210475;D;D;D
50738305;D;D;D
50781944;D;D;D
50677519;D;D;D
50169181;D;D;D
50585487;D;D;D
50728660;D;D;D
50605607;D;D;D
50137794;D;D;D
50144391;D;D;D
50313657;D;D;D
50972782;D;D;D
50212249;D;D;D
50925733;D;D;D
50277464;D;D;D
50586688;D;D;D
50798464;D;D;D
50979922;D;D;D
50173553;D;D;D
50177893;D;D;D
50995006;D;D;D
50784315;D;D;D
50351044;D;D;D
50505572;D;D;D
50530682;D;D;D
50309889;D;D;D
50740113;D;D;D
50821008;D;D;D
50028297;D;D;D
50901117;D;D;D
50237470;D;D;D
50447866;D;D;D
50363263;D;D;D
50280066;D;D;D
50548212;D;D;D
50190261;D;D;D
50162276;D;D;D
50028299;D;D;D
50107815;D;D;D
50436473;D;D;D
50707299;D;D;D
50334247;D;D;D
50146173;D;D;D
50932160;D;D;D
50253174;D;D;D
50529927;D;D;D
50375555;D;D;D
50931741;D;D;D
50808451;D;D;D
50052671;D;D;D
50814567;D;D;D
50333046;D;D;D
50707434;D;D;D
50111574;D;D;D
50158031;D;D;D
50124536;D;D;D
50832042;D;D;D
50567063;D;D;D
50294318;D;D;D
50827820;D;D;D
50987267;D;D;D
50328263;D;D;D
50236393;D;D;D
50663887;D;D;D
50224433;D;D;D
50253565;D;D;D
50186558;D;D;D
50073561;D;D;D
50979434;D;D;D
50143557;D;D;D
50082389;C2;C1;C1
50090927;D;D;D
50912712;D;D;D
50064767;C1;C1;C2
50765736;D;D;D
50590138;D;D;D
50609696;D;D;D
50329782;D;D;D
50060756;B2;B2;B2
50095717;D;D;D
50529188;D;D;D
50093146;D;D;D
50011740;C2;C2;C2
50338595;D;D;D
50099108;D;C2;D
50067687;C2;C1;B2
50547380;D;D;D
50086052;D;D;D
50869248;D;D;D
50834231;D;D;D
50802429;D;D;D
50996371;D;D;D
50222635;D;D;D
50107720;D;D;D
50102716;C1;B1;C1
50056914;D;D;D
50066094;C2;C2;C1
50043299;D;D;D
50091582;C2;C2;C2
50880616;D;D;D
50369385;D;D;D
50090357;C2;C1;C1
50525050;D;D;D
50108326;D;D;D
50089606;C2;C2;D
50355716;D;D;D
50032467;C1;C1;C1
50565753;D;D;D
50805630;D;D;D
50071957;C2;C2;D
50050441;D;D;D
50783149;D;D;D
50592548;D;D;D
50065580;D;D;D
50702270;D;D;D
50080574;C1;C1;C1
50150855;D;D;D
50107650;B2;B1;B2
50111217;D;D;D
50099001;C1;B2;C2
50026856;C2;B2;B2
50062572;B2;B2;C1
50222384;D;D;D
50737007;D;D;D
50282832;D;D;D
50498827;D;D;D
50701401;D;D;D
50077179;D;D;D
50413759;D;D;D
50387030;D;D;D
50085592;B2;B1;B1
50107708;D;D;D
50728814;D;D;D
50969048;D;D;D
50353314;D;D;D
50389289;D;D;D
50584243;D;D;D
50329391;D;D;D
50114368;D;D;D
50028041;C2;C2;D
50087322;D;D;D
50075590;D;D;D
50082394;D;D;D
50089855;D;D;D
50058054;D;D;D
50104913;D;C2;D
50852795;D;D;D
50710176;D;D;D
50104047;C1;B2;B1
50045521;D;D;D
50105650;D;D;D
50113620;D;D;D
50883461;D;D;D
50182595;D;D;D
50077449;D;D;D
50121596;D;D;D
50042477;C2;C2;C2
50847597;D;D;D
50907034;D;D;D
50011272;B1;B1;B1
50458620;D;D;D
50182005;D;D;D
50043840;C2;C1;C2
50068819;D;D;D
50401785;D;D;D
50894897;D;D;D
50504088;D;D;D
50114369;D;D;D
50096366;D;D;D
50774174;D;D;D
50936190;D;D;D
50067758;D;D;D
50107707;D;D;D
50627058;D;D;D
50114749;D;D;D
50094042;D;D;D
50089853;D;D;D
50053642;D;D;D
50736124;D;D;D
50063393;D;D;D
50522418;D;D;D
50031466;D;D;D
50041989;C1;C1;C2
50815830;D;D;D
50919601;D;D;D
50072523;D;D;D
50910221;D;D;D
50398415;D;D;D
50907875;D;D;D
50085131;C1;B2;C1
50108372;D;D;D
50101593;C2;C2;C2
50089856;D;D;D
50834908;D;D;D
50057565;D;D;D
50506129;D;D;D
50739085;D;D;D
50047294;D;D;D
50561227;C2;C2;D
50074216;C1;C1;C1
50766732;D;D;D
50101592;D;D;D
50073584;D;D;D
50066901;C2;C2;C1
50073089;C2;C2;D
50945750;D;D;D
50699202;D;D;D
50113827;D;D;D
50105410;C2;C2;D
50362275;D;D;D
50085962;D;D;D
50765892;D;D;D
50873741;D;D;D
50212192;D;D;D
50107274;D;D;D
50054112;D;D;D
50355902;D;D;D
50318322;D;D;D
50492306;D;D;D
50199552;D;D;D
50132326;D;D;D
50433148;D;D;D
50553984;D;D;D
50995812;D;D;D
50931237;D;D;D
50539736;D;D;D
50904965;D;D;D
50101669;D;D;D
50698559;D;D;D
50338927;D;D;D
50628623;D;D;D
50057962;D;D;D
50498037;D;D;D
50115296;D;D;D
50051922;D;D;D
50982966;D;D;D
50443143;D;D;D
50290444;D;D;D
50941682;D;D;D
50669451;C2;C2;D
50576674;D;D;D
50176838;D;D;D
50728601;D;D;D
